income,credit_score,loan_amount,employment_years,zip_code,approved
50674,607,34817,9.1,33131,1
85171,653,35779,0.4,33146,1
65427,603,22498,8.4,33135,1
84856,671,9790,0.6,33146,1
111264,759,20091,4.0,33135,1
38980,545,27076,4.0,33012,0
37382,540,11114,3.3,33131,0
33692,540,23501,1.7,33146,0
61469,648,14698,1.8,33131,1
74953,681,7255,0.9,33131,1
56019,558,8548,3.7,33131,0
52787,555,20861,0.5,33131,1
60543,680,21473,2.1,33139,1
79127,664,43601,11.9,33146,0
51964,540,36976,7.3,33146,1
77741,708,16199,1.1,33012,0
66177,540,10454,1.1,33012,0
53069,540,38224,1.4,33012,0
58286,588,10155,2.0,33135,1
63350,634,25812,9.5,33146,1
88142,676,11427,0.8,33012,1
53587,553,34898,1.7,33146,0
40845,540,29812,6.2,33131,1
52685,627,14893,6.8,33146,1
65463,661,42533,8.1,33146,1
75131,595,27270,0.8,33139,0
93584,702,44865,4.4,33146,1
69513,570,27437,1.6,33146,1
77820,643,28743,0.4,33012,1
57316,540,37516,0.7,33012,0
61730,601,35205,9.0,33012,0
29850,540,12462,7.9,33135,1
77636,649,40870,1.3,33012,1
60511,587,22896,2.2,33131,1
67197,591,11934,1.9,33135,1
52731,602,38985,2.0,33012,1
39873,540,10121,2.5,33012,0
63204,640,15769,3.5,33012,0
37260,540,8209,4.1,33012,0
78441,651,25304,7.1,33131,1
71934,640,21592,0.6,33135,1
63164,597,27978,2.2,33131,0
66645,604,39620,1.0,33146,1
69227,682,31702,10.8,33146,1
33962,624,24937,3.6,33012,0
78250,629,10553,0.7,33131,1
32429,540,25559,0.5,33131,0
45586,577,12481,1.1,33012,1
49987,540,40066,0.6,33135,0
76769,601,20689,5.7,33131,1
67151,637,9286,2.8,33012,0
47712,540,15316,4.5,33012,0
99315,692,11835,0.1,33135,1
64218,654,39087,11.2,33131,1
33505,540,35892,3.9,33139,0
57530,554,35409,3.6,33146,0
35590,540,25980,2.1,33012,0
69142,647,19570,10.4,33146,1
65937,648,28596,3.4,33135,1
57092,592,9593,4.4,33012,1
83142,623,29883,2.0,33012,1
54157,596,12380,6.5,33131,1
67861,613,37682,1.1,33131,1
55977,623,18930,6.9,33139,1
78270,659,9071,2.0,33135,1
92460,723,39588,0.7,33135,1
70081,625,40808,2.4,33139,0
74233,677,15329,4.1,33139,1
71471,593,27831,0.3,33131,0
74513,593,17894,6.8,33135,0
56706,685,7534,2.2,33146,1
76280,642,28825,1.2,33012,0
28000,540,42980,0.6,33135,0
57606,594,13253,10.9,33131,1
78450,737,33163,0.7,33012,1
77348,661,27217,3.0,33139,1
28000,540,26304,9.9,33135,0
81372,626,16075,2.0,33139,1
51634,540,32615,0.5,33139,1
62260,639,18464,0.8,33146,1
44856,540,37394,1.7,33131,0
72265,597,41834,2.9,33146,1
52610,599,35759,1.8,33012,0
28000,544,10166,1.9,33139,1
81510,683,14605,9.6,33139,1
45683,581,28249,9.1,33012,0
63371,563,19523,2.6,33135,1
68284,605,31868,2.8,33146,0
61283,650,12691,4.8,33146,1
78543,606,7072,0.1,33146,1
43611,597,19243,6.0,33146,1
99935,695,14696,2.0,33139,1
71649,600,32260,1.9,33012,1
38075,540,11076,11.8,33146,0
82619,583,23365,4.7,33135,1
65491,582,26284,0.8,33012,0
68481,559,10882,1.0,33139,1
44322,540,7659,9.0,33146,0
68625,636,30336,0.8,33131,1
68872,696,39494,6.4,33012,1
51404,586,39943,8.2,33131,1
57484,540,31862,3.1,33146,0
55815,552,18150,1.7,33012,0
42506,574,27864,4.2,33131,0
66281,551,9971,5.8,33135,1
51930,603,10103,0.8,33135,1
28000,540,5581,5.4,33135,0
71476,610,31745,0.4,33146,1
37085,620,34234,0.6,33012,0
59234,618,15936,6.3,33139,1
48461,661,24684,5.1,33139,1
67939,605,44295,0.7,33135,0
30986,540,16351,0.1,33131,1
68928,683,20914,4.3,33131,1
45954,587,15097,2.4,33146,0
57308,616,19756,10.1,33139,0
61305,628,13457,0.8,33135,1
68575,642,8270,10.1,33012,1
28000,540,11757,4.9,33012,1
43812,581,32164,20.0,33012,0
39140,598,38673,0.1,33139,0
91312,777,9542,1.9,33012,1
45064,600,18954,3.2,33139,1
92760,612,11892,3.3,33012,1
99723,751,25467,0.6,33012,1
28000,540,43162,2.5,33135,0
47958,540,37248,0.2,33146,0
116403,699,44598,8.9,33012,1
55145,616,6467,5.4,33135,1
